Number of Wells,Number of Connections,Pipeline Diameter,Pipeline Length,p2,p4,p6,p8,p10,p12,NPV,tot_co2_gen
20.0,1.0000000747012845,20.0,27999.998210512982,150,1726.0139941127536,3197.3135868625377,4797.344181739137,5500.767098263993,6998.649098283211,20089.407097161715,2168.8443324625796
20.0,1.0000000747012845,20.0,27999.998210512982,150,1726.0139940978524,3197.313586877439,4797.344181739137,5500.767098263993,6998.649098283211,20089.407097163043,2168.8443324617683
20.0,1.0000000747012845,20.0,27999.998210512982,150,1726.0139940978524,3197.3135868625377,4797.344181754038,5500.767098263993,6998.649098283211,20089.407097163054,2168.84433245871
20.0,1.0000000747012845,20.0,27999.998210512982,150,1726.0139940978524,3197.3135868625377,4797.344181739137,5500.767098278894,6998.649098283211,20089.40709716313,2168.844332459781
20.0,1.0000000747012845,20.0,27999.998210512982,150,1726.0139940978524,3197.3135868625377,4797.344181739137,5500.767098263993,6998.649098298112,20089.407097163083,2168.8443324598647
19.999999077081444,1.0,19.999999519284668,27999.997890608825,150,1432.7560672058903,3186.6592877889298,4786.815086275068,5503.805969220022,6993.292238154264,20116.60408594232,2114.6834081506913
19.999999091982605,1.0,19.999999519284668,27999.997890608825,150,1432.7560672058903,3186.6592877889298,4786.815086275068,5503.805969220022,6993.292238154264,20116.604085972383,2114.6834081506913
19.999999077081444,1.0000000149011612,19.999999519284668,27999.997890608825,150,1432.7560672058903,3186.6592877889298,4786.815086275068,5503.805969220022,6993.292238154264,20116.60406801664,2114.68343966193
19.999999077081444,1.0,19.99999953418583,27999.997890608825,150,1432.7560672058903,3186.6592877889298,4786.815086275068,5503.805969220022,6993.292238154264,20116.604085948573,2114.6834081506913
19.999999077081444,1.0,19.999999519284668,27999.997890623727,150,1432.7560672058903,3186.6592877889298,4786.815086275068,5503.805969220022,6993.292238154264,20116.60408594232,2114.6834081506913
19.999999077081444,1.0,19.999999519284668,27999.997890608825,150,1432.7560672058903,3186.6592877889298,4786.815086275068,5503.805969220022,6993.292238154264,20116.60408594232,2114.6834081506913
19.999999077081444,1.0,19.999999519284668,27999.997890608825,150,1432.7560672207915,3186.6592877889298,4786.815086275068,5503.805969220022,6993.292238154264,20116.60408594097,2114.683408153339
19.999999077081444,1.0,19.999999519284668,27999.997890608825,150,1432.7560672058903,3186.659287803831,4786.815086275068,5503.805969220022,6993.292238154264,20116.604085942185,2114.6834081527704
19.999999077081444,1.0,19.999999519284668,27999.997890608825,150,1432.7560672058903,3186.6592877889298,4786.815086289969,5503.805969220022,6993.292238154264,20116.604085942265,2114.683408149582
19.999999077081444,1.0,19.999999519284668,27999.997890608825,150,1432.7560672058903,3186.6592877889298,4786.815086275068,5503.805969234923,6993.292238154264,20116.604085942334,2114.6834081506586
